close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
65.76,66.27,63.51,65.19,2389698,65.76,66.27,63.51,65.19,2389698,0.0,1.0
67.0,68.28,65.54,65.68,1623771,67.0,68.28,65.54,65.68,1623771,0.0,1.0
68.62,69.05,66.28,66.82,1554498,68.62,69.05,66.28,66.82,1554498,0.0,1.0
68.28,69.095,67.82,68.61,858469,68.28,69.095,67.82,68.61,858469,0.0,1.0
69.29,69.64,68.02,68.8,720703,69.29,69.64,68.02,68.8,720703,0.0,1.0
70.83,71.38,69.76,69.8,1501544,70.83,71.38,69.76,69.8,1501544,0.0,1.0
71.62,72.37,70.185,71.34,2813095,71.62,72.37,70.185,71.34,2813095,0.0,1.0
70.18,71.94,70.09,71.94,1378259,70.18,71.94,70.09,71.94,1378259,0.0,1.0
70.28,70.54,69.15,69.85,1419078,70.28,70.54,69.15,69.85,1419078,0.0,1.0
71.14,71.555,70.1,70.53,1503858,71.14,71.555,70.1,70.53,1503858,0.0,1.0
70.19,70.99,68.54,69.38,1176303,70.19,70.99,68.54,69.38,1176303,0.0,1.0
70.11,70.95,69.73,69.93,1139453,70.11,70.95,69.73,69.93,1139453,0.0,1.0
70.23,71.17,69.7,70.03,2257762,70.23,71.17,69.7,70.03,2257762,0.0,1.0
70.37,70.67,69.56,70.33,1316937,70.37,70.67,69.56,70.33,1316937,0.0,1.0
70.11,70.6721,69.18,70.38,1321154,70.11,70.6721,69.18,70.38,1321154,0.0,1.0
69.2,70.11,69.02,70.11,1040679,69.2,70.11,69.02,70.11,1040679,0.0,1.0
68.96,69.27,68.23,69.27,1090830,68.96,69.27,68.23,69.27,1090830,0.0,1.0
68.99,71.105,68.58,69.21,1359599,68.99,71.105,68.58,69.21,1359599,0.0,1.0
70.1,70.43,69.01,69.01,1148721,70.1,70.43,69.01,69.01,1148721,0.0,1.0
69.91,70.5,69.15,70.27,1109096,69.91,70.5,69.15,70.27,1109096,0.0,1.0
68.64,69.84,68.22,69.84,1268441,68.64,69.84,68.22,69.84,1268441,0.0,1.0
68.58,69.75,67.61,68.52,1640570,68.58,69.75,67.61,68.52,1640570,0.0,1.0
66.54,70.445,65.25,69.34,2572136,66.54,70.445,65.25,69.34,2572136,0.0,1.0
65.59,66.54,64.9301,65.38,2055269,65.59,66.54,64.9301,65.38,2055269,0.0,1.0
64.45,65.31,64.16,65.31,2430270,64.45,65.31,64.16,65.31,2430270,0.0,1.0
63.04,64.6,62.5,64.59,2115353,63.04,64.6,62.5,64.59,2115353,0.0,1.0
61.75,63.28,61.45,63.04,2208846,61.75,63.28,61.45,63.04,2208846,0.0,1.0
63.01,63.11,61.94,61.94,2091771,63.01,63.11,61.94,61.94,2091771,0.0,1.0
63.61,64.8,62.65,63.17,2667038,63.61,64.8,62.65,63.17,2667038,0.0,1.0
64.38,64.7,62.62,63.47,1608264,64.38,64.7,62.62,63.47,1608264,0.0,1.0
64.44,65.46,63.88,63.88,1022665,64.44,65.46,63.88,63.88,1022665,0.0,1.0
64.87,65.49,63.25,64.3,1336494,64.87,65.49,63.25,64.3,1336494,0.0,1.0
66.45,66.58,65.0,65.01,1413314,66.45,66.58,65.0,65.01,1413314,0.0,1.0
66.87,68.34,66.44,67.52,1896306,66.87,68.34,66.44,67.52,1896306,0.0,1.0
67.85,68.205,66.44,67.02,1152831,67.85,68.205,66.44,67.02,1152831,0.0,1.0
68.8,69.4,67.015,67.55,1233767,68.8,69.4,67.015,67.55,1233767,0.0,1.0
69.05,69.33,68.31,69.28,1433345,69.05,69.33,68.31,69.28,1433345,0.0,1.0
69.62,70.43,68.81,68.96,1738613,69.62,70.43,68.81,68.96,1738613,0.0,1.0
69.48,70.01,68.93,69.34,810842,69.48,70.01,68.93,69.34,810842,0.0,1.0
69.18,69.62,68.3,69.3,1871509,69.18,69.62,68.3,69.3,1871509,0.0,1.0
70.08,70.81,69.28,69.4,1936222,70.08,70.81,69.28,69.4,1936222,0.0,1.0
72.36,73.355,70.3983,70.5,1831223,72.36,73.355,70.3983,70.5,1831223,0.0,1.0
73.85,74.45,72.25,72.26,1478426,73.85,74.45,72.25,72.26,1478426,0.0,1.0
74.08,74.38,73.35,73.87,1438102,74.08,74.38,73.35,73.87,1438102,0.0,1.0
73.65,74.65,71.78,73.96,672022,73.65,74.65,71.78,73.96,672022,0.0,1.0
73.91,74.69,73.47,73.74,905057,73.91,74.69,73.47,73.74,905057,0.0,1.0
73.84,73.9,72.365,73.44,1014854,73.84,73.9,72.365,73.44,1014854,0.0,1.0
74.23,74.81,73.56,73.56,887677,74.23,74.81,73.56,73.56,887677,0.0,1.0
72.21,74.61,71.44,74.3,1233490,72.21,74.61,71.44,74.3,1233490,0.0,1.0
69.17,71.7,68.86,71.63,1708166,69.17,71.7,68.86,71.63,1708166,0.0,1.0
68.4,69.57,67.78,69.57,1294377,68.4,69.57,67.78,69.57,1294377,0.0,1.0
66.82,69.1375,66.35,68.1,2374983,66.82,69.1375,66.35,68.1,2374983,0.0,1.0
66.51,66.96,65.47,66.86,1363909,66.51,66.96,65.47,66.86,1363909,0.0,1.0
67.48,67.67,66.08,67.03,1205020,67.48,67.67,66.08,67.03,1205020,0.0,1.0
68.09,68.53,67.19,67.65,957854,68.09,68.53,67.19,67.65,957854,0.0,1.0
67.02,68.3988,66.4667,68.09,1141440,67.02,68.3988,66.4667,68.09,1141440,0.0,1.0
67.82,67.98,66.59,66.85,760067,67.82,67.98,66.59,66.85,760067,0.0,1.0
67.25,68.96,67.2,67.79,918721,67.25,68.96,67.2,67.79,918721,0.0,1.0
68.28,68.61,67.2642,67.36,1150362,68.28,68.61,67.2642,67.36,1150362,0.0,1.0
66.59,68.861,66.415,68.37,1992823,66.59,68.861,66.415,68.37,1992823,0.0,1.0
66.48,66.87,65.64,66.52,1093724,66.48,66.87,65.64,66.52,1093724,0.0,1.0
65.86,66.83,65.65,66.71,1067192,65.86,66.83,65.65,66.71,1067192,0.0,1.0
67.42,69.34,66.03,66.03,1841859,67.42,69.34,66.03,66.03,1841859,0.0,1.0
69.04,69.43,67.0,67.55,971826,69.04,69.43,67.0,67.55,971826,0.0,1.0
69.08,69.93,68.56,68.81,1312864,69.08,69.93,68.56,68.81,1312864,0.0,1.0
68.82,69.9,68.3,69.47,900406,68.82,69.9,68.3,69.47,900406,0.0,1.0
69.85,69.9,68.57,68.86,1065206,69.85,69.9,68.57,68.86,1065206,0.0,1.0
69.94,70.58,69.55,70.0,873988,69.94,70.58,69.55,70.0,873988,0.0,1.0
66.19,69.76,65.71,69.76,1377973,66.19,69.76,65.71,69.76,1377973,0.0,1.0
65.08,66.985,63.79,66.27,1302445,65.08,66.985,63.79,66.27,1302445,0.0,1.0
64.17,65.01,62.83,64.61,1396611,64.17,65.01,62.83,64.61,1396611,0.0,1.0
65.5,65.97,63.72,64.18,887586,65.5,65.97,63.72,64.18,887586,0.0,1.0
63.85,66.265,63.78,65.5,1477808,63.85,66.265,63.78,65.5,1477808,0.0,1.0
61.75,64.97,61.07,64.08,2194931,61.75,64.97,61.07,64.08,2194931,0.0,1.0
62.56,63.0,60.9,62.69,1689913,62.56,63.0,60.9,62.69,1689913,0.0,1.0
62.03,63.0,61.51,62.17,1151774,62.03,63.0,61.51,62.17,1151774,0.0,1.0
64.91,65.12,62.27,62.47,1483231,64.91,65.12,62.27,62.47,1483231,0.0,1.0
65.04,65.5,64.1,64.91,2128283,65.04,65.5,64.1,64.91,2128283,0.0,1.0
64.44,65.49,63.49,65.35,1163246,64.44,65.49,63.49,65.35,1163246,0.0,1.0
66.06,67.02,63.75,64.49,1635916,66.06,67.02,63.75,64.49,1635916,0.0,1.0
65.18,67.545,64.75,67.07,1055846,65.18,67.545,64.75,67.07,1055846,0.0,1.0
65.04,65.87,62.705,64.34,1176208,65.04,65.87,62.705,64.34,1176208,0.0,1.0
60.92,64.97,60.71,64.89,2541049,60.92,64.97,60.71,64.89,2541049,0.0,1.0
64.29,64.56,60.68,61.47,1884106,64.29,64.56,60.68,61.47,1884106,0.0,1.0
63.95,65.55,61.45,62.14,1625507,63.95,65.55,61.45,62.14,1625507,0.0,1.0
63.32,66.7,61.81,65.08,1609867,63.32,66.7,61.81,65.08,1609867,0.0,1.0
61.03,63.0,58.33,61.41,5709773,61.03,63.0,58.33,61.41,5709773,0.0,1.0
64.82,65.77,61.255,61.66,2474421,64.82,65.77,61.255,61.66,2474421,0.0,1.0
68.43,69.27,62.3288,65.05,1776666,68.43,69.27,62.3288,65.05,1776666,0.0,1.0
67.41,69.81,65.89,68.95,1577693,67.41,69.81,65.89,68.95,1577693,0.0,1.0
68.97,69.19,66.38,67.73,1184219,68.97,69.19,66.38,67.73,1184219,0.0,1.0
68.53,69.85,68.05,69.1,1154383,68.53,69.85,68.05,69.1,1154383,0.0,1.0
69.03,70.0,68.05,69.27,1606401,69.03,70.0,68.05,69.27,1606401,0.0,1.0
68.67,69.72,67.96,68.99,1138377,68.67,69.72,67.96,68.99,1138377,0.0,1.0
66.03,68.5,64.93,68.39,1326042,66.03,68.5,64.93,68.39,1326042,0.0,1.0
62.86,66.19,62.51,66.1,2228570,62.86,66.19,62.51,66.1,2228570,0.0,1.0
63.73,65.295,62.8,62.97,1524936,63.73,65.295,62.8,62.97,1524936,0.0,1.0
64.15,64.775,62.85,64.17,2388701,64.15,64.775,62.85,64.17,2388701,0.0,1.0
65.03,65.07,61.52,62.82,1305758,65.03,65.07,61.52,62.82,1305758,0.0,1.0
66.51,66.91,64.33,64.86,1172303,66.51,66.91,64.33,64.86,1172303,0.0,1.0
64.25,66.852,63.53,66.32,1684622,64.25,66.852,63.53,66.32,1684622,0.0,1.0
63.59,64.78,62.6425,63.51,1264581,63.59,64.78,62.6425,63.51,1264581,0.0,1.0
64.07,64.66,63.1,63.94,976452,64.07,64.66,63.1,63.94,976452,0.0,1.0
64.67,66.3,63.3,63.62,688345,64.67,66.3,63.3,63.62,688345,0.0,1.0
67.38,67.53,65.01,65.5,1170589,67.38,67.53,65.01,65.5,1170589,0.0,1.0
67.19,68.14,65.74,66.8,1284360,67.19,68.14,65.74,66.8,1284360,0.0,1.0
65.76,67.28,65.18,67.11,1906622,65.76,67.28,65.18,67.11,1906622,0.0,1.0
64.79,66.25,64.71,65.22,1469115,64.79,66.25,64.71,65.22,1469115,0.0,1.0
64.25,65.5,63.55,64.84,2849191,64.25,65.5,63.55,64.84,2849191,0.0,1.0
68.32,68.93,65.25,65.25,2691255,68.32,68.93,65.25,65.25,2691255,0.0,1.0
65.52,68.72,65.38,68.07,1963249,65.52,68.72,65.38,68.07,1963249,0.0,1.0
65.1,65.46,63.22,64.72,1565492,65.1,65.46,63.22,64.72,1565492,0.0,1.0
64.51,66.88,63.93,64.7,1258178,64.51,66.88,63.93,64.7,1258178,0.0,1.0
65.42,65.8,63.54,64.73,1192682,65.42,65.8,63.54,64.73,1192682,0.0,1.0
65.6,66.48,64.8609,66.3,901841,65.6,66.48,64.8609,66.3,901841,0.0,1.0
67.67,68.599,66.65,66.65,1093182,67.67,68.599,66.65,66.65,1093182,0.0,1.0
67.29,68.87,67.05,67.96,1182140,67.29,68.87,67.05,67.96,1182140,0.0,1.0
66.25,67.639,65.66,66.61,1184886,66.25,67.639,65.66,66.61,1184886,0.0,1.0
64.82,66.895,64.21,65.75,1394484,64.82,66.895,64.21,65.75,1394484,0.0,1.0
64.26,66.86,63.5,66.69,1707689,64.26,66.86,63.5,66.69,1707689,0.0,1.0
62.75,65.48,61.89,64.04,1753773,62.75,65.48,61.89,64.04,1753773,0.0,1.0
61.73,63.38,60.63,62.43,1733424,61.73,63.38,60.63,62.43,1733424,0.0,1.0
58.67,63.33,58.35,62.02,3337475,58.67,63.33,58.35,62.02,3337475,0.0,1.0
58.5,60.12,57.0,58.25,1000697,58.5,60.12,57.0,58.25,1000697,0.0,1.0
62.02,62.05,58.46,58.88,1388493,62.02,62.05,58.46,58.88,1388493,0.0,1.0
62.34,62.37,60.0,61.4,1173030,62.34,62.37,60.0,61.4,1173030,0.0,1.0
62.28,63.82,61.71,62.74,1027459,62.28,63.82,61.71,62.74,1027459,0.0,1.0
63.59,64.5374,62.6613,62.8,1074785,63.59,64.5374,62.6613,62.8,1074785,0.0,1.0
