symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CERN,2020-09-14 00:00:00+00:00,71.94,72.55,71.45,71.46,977546,71.7486136565,72.3569908365,71.2599172332,71.2698906296,977546,0.0,1.0
CERN,2020-09-15 00:00:00+00:00,71.7,72.35,71.58,72.0,1099146,71.5092521431,72.1575229087,71.3895713863,71.8084540349,1099146,0.0,1.0
CERN,2020-09-16 00:00:00+00:00,72.42,73.58,72.06,72.4,1965526,72.2273366834,73.3842506651,71.8682944132,72.2073898906,1965526,0.0,1.0
CERN,2020-09-17 00:00:00+00:00,71.78,72.085,70.71,71.27,1432451,71.5890393142,71.8932279042,70.5218859001,71.0803960981,1432451,0.0,1.0
CERN,2020-09-18 00:00:00+00:00,69.85,72.135,69.33,72.1,2784144,69.6641738102,71.9430948862,69.1455571978,71.9081879988,2784144,0.0,1.0
CERN,2020-09-21 00:00:00+00:00,68.7,69.04,67.08,68.51,1820916,68.5172332249,68.8563287023,66.9015430092,68.3277386935,1820916,0.0,1.0
CERN,2020-09-22 00:00:00+00:00,68.63,69.03,67.81,68.61,1459565,68.4474194502,68.8463553059,67.6296009459,68.4274726574,1459565,0.0,1.0
CERN,2020-09-23 00:00:00+00:00,67.73,68.99,67.435,68.72,1424167,67.5498137748,68.8064617204,67.2555985811,68.5371800177,1424167,0.0,1.0
CERN,2020-09-24 00:00:00+00:00,67.48,68.26,66.75,67.53,949111,67.48,68.26,66.75,67.53,949111,0.18,1.0
CERN,2020-09-25 00:00:00+00:00,69.31,69.51,66.92,67.11,1319215,69.31,69.51,66.92,67.11,1319215,0.0,1.0
CERN,2020-09-28 00:00:00+00:00,71.6,71.63,69.81,70.05,1833154,71.6,71.63,69.81,70.05,1833154,0.0,1.0
CERN,2020-09-29 00:00:00+00:00,71.19,72.5,71.1,71.38,1257940,71.19,72.5,71.1,71.38,1257940,0.0,1.0
CERN,2020-09-30 00:00:00+00:00,72.29,73.16,70.639,71.58,1712160,72.29,73.16,70.639,71.58,1712160,0.0,1.0
CERN,2020-10-01 00:00:00+00:00,72.31,73.3,71.75,72.85,1402660,72.31,73.3,71.75,72.85,1402660,0.0,1.0
CERN,2020-10-02 00:00:00+00:00,71.18,71.98,70.48,71.51,1027165,71.18,71.98,70.48,71.51,1027165,0.0,1.0
CERN,2020-10-05 00:00:00+00:00,71.76,71.96,70.71,70.71,1314447,71.76,71.96,70.71,70.71,1314447,0.0,1.0
CERN,2020-10-06 00:00:00+00:00,71.98,73.14,71.5,72.17,1336947,71.98,73.14,71.5,72.17,1336947,0.0,1.0
CERN,2020-10-07 00:00:00+00:00,71.48,72.93,71.4,72.82,1022064,71.48,72.93,71.4,72.82,1022064,0.0,1.0
CERN,2020-10-08 00:00:00+00:00,71.84,72.1839,71.44,71.84,807122,71.84,72.1839,71.44,71.84,807122,0.0,1.0
CERN,2020-10-09 00:00:00+00:00,72.39,73.18,71.87,72.67,1023115,72.39,73.18,71.87,72.67,1023115,0.0,1.0
CERN,2020-10-12 00:00:00+00:00,73.79,75.05,72.7,72.85,1836882,73.79,75.05,72.7,72.85,1836882,0.0,1.0
CERN,2020-10-13 00:00:00+00:00,73.25,74.0799,72.96,74.0371,1411366,73.25,74.0799,72.96,74.0371,1411366,0.0,1.0
CERN,2020-10-14 00:00:00+00:00,74.23,74.39,73.25,73.75,1122801,74.23,74.39,73.25,73.75,1122801,0.0,1.0
CERN,2020-10-15 00:00:00+00:00,73.76,74.08,73.08,73.23,1109362,73.76,74.08,73.08,73.23,1109362,0.0,1.0
CERN,2020-10-16 00:00:00+00:00,74.63,75.24,73.54,73.95,1549555,74.63,75.24,73.54,73.95,1549555,0.0,1.0
CERN,2020-10-19 00:00:00+00:00,72.36,75.11,72.03,74.75,1053160,72.36,75.11,72.03,74.75,1053160,0.0,1.0
CERN,2020-10-20 00:00:00+00:00,72.7,73.59,72.22,72.59,787560,72.7,73.59,72.22,72.59,787560,0.0,1.0
CERN,2020-10-21 00:00:00+00:00,72.56,73.49,72.33,72.68,1416634,72.56,73.49,72.33,72.68,1416634,0.0,1.0
CERN,2020-10-22 00:00:00+00:00,72.59,72.77,71.14,72.68,802847,72.59,72.77,71.14,72.68,802847,0.0,1.0
